Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
16,Alberta,Boy,At least every week,Prefer not to say,Good,Prefer not to say
18,British Columbia,Girl,Daily or almost daily,Agree,Poor,Never
18,Ontario,Girl,Daily or almost daily,Agree,Very good,Never
18,Manitoba,Boy,At least every week,Disagree,Fair,Never
14,Newfoundland and Labrador,Girl,At least every week,Agree,Excellent,Never
14,Saskatchewan,Boy,Almost all the time throughout the day,Agree,Excellent,Three or four times
18,Alberta,Girl,At least every week,Agree,Fair,Never
15,Quebec,Boy,At least every week,Agree,Very good,Never
17,Quebec,Girl,At least every week,Agree,Very good,Never
12,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Excellent,Never
17,Quebec,Boy,At least every week,Agree,Very good,Never
15,Quebec,Girl,Several times each day,Agree,Very good,Never
16,British Columbia,Boy,Daily or almost daily,Somewhat disagree,Excellent,Never
17,Quebec,Boy,Daily or almost daily,Agree,Very good,Never
17,Quebec,Boy,At least every week,Disagree,Very good,Never
12,Quebec,Girl,At least every week,Disagree,Good,once or twice
13,Quebec,Girl,At least every week,Agree,Good,once or twice
17,Quebec,Boy,Daily or almost daily,Prefer not to say,Fair,Never
16,Quebec,Boy,At least every week,Prefer not to say,Very good,Prefer not to say
15,Quebec,Boy,Daily or almost daily,Agree,Good,Never
17,Quebec,Boy,Daily or almost daily,Agree,Good,once or twice
17,Quebec,Boy,Daily or almost daily,Agree,Good,Never
12,Quebec,Boy,Several times each day,Somewhat agree,Excellent,once or twice
14,Quebec,Girl,At least every week,Agree,Excellent,Never
14,Quebec,Girl,Daily or almost daily,Somewhat agree,Very good,Never
17,Quebec,Girl,Several times each day,Somewhat agree,Good,Prefer not to say
17,Quebec,Boy,At least every week,Agree,Very good,Never
15,Quebec,Girl,Almost all the time throughout the day,Agree,Excellent,Never
16,Manitoba,Boy,At least every week,Disagree,Excellent,Never
15,Manitoba,Boy,Daily or almost daily,Agree,Very good,Three or four times
16,Quebec,Boy,At least every week,Somewhat agree,Excellent,Never
13,Alberta,Girl,At least every week,Somewhat disagree,Fair,once or twice
16,Quebec,Boy,At least every week,Somewhat agree,Fair,once or twice
14,British Columbia,Girl,Daily or almost daily,Agree,Very good,once or twice
13,Quebec,Boy,Several times each day,Agree,Excellent,once or twice
17,Alberta,Girl,Several times each day,Somewhat agree,Good,Never
18,Manitoba,Boy,Daily or almost daily,Agree,Fair,Three or four times
15,Quebec,Boy,At least every week,Somewhat agree,Good,Never
16,Nova Scotia,Girl,At least every week,Somewhat agree,Excellent,Never
18,British Columbia,Girl,At least every week,Agree,Good,Never
15,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
18,British Columbia,Girl,Never or almost never,Agree,Good,once or twice
12,Alberta,Girl,Daily or almost daily,Somewhat agree,Good,once or twice
18,New Brunswick,Girl,Don't know/doesn't apply,Agree,Poor,More than four times
16,Alberta,Boy,Daily or almost daily,Somewhat disagree,Good,Never
17,British Columbia,Boy,At least every week,Agree,Good,once or twice
14,Quebec,Girl,At least every week,Agree,Fair,Three or four times
16,Quebec,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
12,Alberta,Boy,At least every week,Prefer not to say,Prefer not to say,once or twice
15,Manitoba,Girl,At least every week,Agree,Fair,once or twice
12,British Columbia,Girl,Never or almost never,Somewhat agree,Good,Never
13,Saskatchewan,Girl,Daily or almost daily,Somewhat disagree,Good,Three or four times
16,Quebec,Boy,Daily or almost daily,Agree,Good,Never
18,Quebec,Girl,Never or almost never,Agree,Fair,Three or four times
18,Alberta,Boy,At least every week,Somewhat disagree,Good,once or twice
15,Quebec,Girl,At least every week,Agree,Very good,Never
18,Alberta,Girl,Daily or almost daily,Agree,Poor,Never
18,British Columbia,Girl,Never or almost never,Agree,Poor,once or twice
18,Manitoba,Girl,Don't know/doesn't apply,Somewhat agree,Poor,Never
15,Alberta,Boy,Several times each day,Agree,Very good,Never
12,Quebec,Boy,At least every week,Prefer not to say,Excellent,Never
17,British Columbia,Girl,Daily or almost daily,Agree,Good,once or twice
18,British Columbia,Boy,Daily or almost daily,Somewhat disagree,Excellent,once or twice
13,British Columbia,Girl,Daily or almost daily,Somewhat agree,Very good,once or twice
15,British Columbia,Girl,Daily or almost daily,Somewhat agree,Excellent,Never
12,British Columbia,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
14,British Columbia,Boy,Daily or almost daily,Agree,Fair,once or twice
18,British Columbia,Boy,Never or almost never,Agree,Good,Never
14,Nova Scotia,Girl,Several times each day,Disagree,Good,More than four times
18,Manitoba,Girl,Never or almost never,Agree,Fair,once or twice
15,Alberta,Girl,Never or almost never,Agree,Fair,Never
13,British Columbia,Boy,Never or almost never,Agree,Very good,once or twice
15,British Columbia,Boy,Several times each day,Agree,Excellent,More than four times
13,Alberta,Girl,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
14,Alberta,Boy,Several times each day,Agree,Fair,once or twice
15,Newfoundland and Labrador,Girl,Several times each day,Agree,Very good,Never
12,British Columbia,Girl,At least every week,Agree,Good,Never
18,Newfoundland and Labrador,Girl,Daily or almost daily,Agree,Good,once or twice
18,New Brunswick,Girl,Never or almost never,Somewhat agree,Good,Never
16,British Columbia,Boy,Never or almost never,Agree,Very good,Never
16,Nova Scotia,Girl,At least every week,Agree,Very good,Never
16,Nova Scotia,Girl,At least every week,Somewhat agree,Very good,once or twice
18,British Columbia,Girl,At least every week,Somewhat agree,Poor,Three or four times
18,Quebec,Boy,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
15,Saskatchewan,Girl,At least every week,Somewhat agree,Very good,Never
17,British Columbia,Girl,Never or almost never,Somewhat agree,Fair,once or twice
18,New Brunswick,Girl,At least every week,Agree,Good,once or twice
15,Nova Scotia,Girl,At least every week,Somewhat agree,Good,once or twice
12,Nova Scotia,Girl,At least every week,Somewhat disagree,Fair,Three or four times
13,New Brunswick,Girl,Daily or almost daily,Agree,Excellent,Three or four times
17,British Columbia,Boy,Daily or almost daily,Disagree,Poor,Never
15,Nova Scotia,Boy,Several times each day,Somewhat agree,Good,once or twice
12,Saskatchewan,Girl,Almost all the time throughout the day,Somewhat agree,Excellent,once or twice
16,Alberta,Boy,At least every week,Somewhat disagree,Excellent,Never
17,Alberta,Boy,Never or almost never,Somewhat agree,Very good,Never
18,Newfoundland and Labrador,Girl,Daily or almost daily,Agree,Good,Never
15,British Columbia,Boy,Several times each day,Somewhat agree,Fair,Never
14,Manitoba,Boy,Never or almost never,Somewhat agree,Very good,Never
12,Alberta,Girl,At least every week,Somewhat agree,Excellent,Never
13,Nova Scotia,Girl,Daily or almost daily,Somewhat agree,Good,once or twice
14,British Columbia,Boy,Daily or almost daily,Somewhat agree,Very good,once or twice
16,British Columbia,Boy,Daily or almost daily,Somewhat agree,Very good,once or twice
18,British Columbia,Girl,Never or almost never,Agree,Fair,Never
15,New Brunswick,Girl,Don't know/doesn't apply,Agree,Fair,once or twice
17,Quebec,Girl,At least every week,Somewhat agree,Fair,Never
15,Quebec,Girl,Daily or almost daily,Somewhat agree,Good,Never
14,Nova Scotia,Boy,Daily or almost daily,Agree,Good,Never
16,British Columbia,Girl,Several times each day,Somewhat agree,Good,Never
15,Quebec,Boy,Don't know/doesn't apply,Somewhat disagree,Good,Never
13,Alberta,Girl,At least every week,Somewhat agree,Good,once or twice
15,Quebec,Boy,Daily or almost daily,Agree,Excellent,More than four times
15,Quebec,Girl,Never or almost never,Somewhat agree,Very good,Never
12,Alberta,Girl,Never or almost never,Somewhat agree,Good,More than four times
14,Saskatchewan,Boy,Don't know/doesn't apply,Agree,Fair,Never
16,Alberta,Boy,Daily or almost daily,Somewhat agree,Fair,Never
14,British Columbia,Boy,Daily or almost daily,Somewhat agree,Very good,Never
15,British Columbia,Boy,At least every week,Somewhat disagree,Very good,once or twice
16,British Columbia,Girl,Daily or almost daily,Agree,Good,Never
15,British Columbia,Girl,At least every week,Somewhat agree,Fair,Never
18,Manitoba,Girl,Daily or almost daily,Agree,Good,Never
18,Saskatchewan,Girl,Don't know/doesn't apply,Agree,Poor,Never
14,Quebec,Girl,Never or almost never,Agree,Excellent,Never
13,Alberta,Girl,At least every week,Agree,Poor,Three or four times
13,New Brunswick,Girl,Don't know/doesn't apply,Agree,Very good,Never
17,Quebec,Girl,At least every week,Somewhat agree,Very good,Never
18,Alberta,Boy,Never or almost never,Agree,Fair,Never
13,British Columbia,Girl,At least every week,Somewhat agree,Good,once or twice
15,British Columbia,Boy,Never or almost never,Somewhat agree,Good,Never
13,British Columbia,Girl,At least every week,Agree,Fair,Never
14,British Columbia,Gender diverse,Never or almost never,Somewhat disagree,Very good,once or twice
16,New Brunswick,Boy,Several times each day,Somewhat agree,Fair,Never
14,Quebec,Girl,Several times each day,Prefer not to say,Very good,Never
15,Quebec,Boy,Several times each day,Agree,Fair,Prefer not to say
16,Quebec,Boy,Never or almost never,Prefer not to say,Very good,Never
16,British Columbia,Boy,Daily or almost daily,Agree,Good,once or twice
17,Quebec,Boy,Daily or almost daily,Somewhat agree,Very good,Never
18,British Columbia,Gender diverse,Daily or almost daily,Agree,Poor,once or twice
14,Quebec,Boy,At least every week,Agree,Fair,Never
15,British Columbia,Boy,At least every week,Somewhat agree,Good,Never
13,Saskatchewan,Boy,Never or almost never,Agree,Very good,Never
15,British Columbia,Girl,Daily or almost daily,Agree,Excellent,Never
13,Alberta,Girl,Never or almost never,Agree,Very good,Never
12,Alberta,Girl,Daily or almost daily,Somewhat agree,Fair,once or twice
13,Manitoba,Boy,Never or almost never,Somewhat agree,Good,Never
14,Alberta,Boy,Don't know/doesn't apply,Agree,Poor,Three or four times
16,Quebec,Boy,Don't know/doesn't apply,Agree,Excellent,Never
14,Manitoba,Girl,Never or almost never,Somewhat agree,Prefer not to say,Prefer not to say
17,Quebec,Girl,Never or almost never,Somewhat agree,Very good,Never
14,Saskatchewan,Girl,Several times each day,Agree,Fair,once or twice
14,Manitoba,Boy,Daily or almost daily,Agree,Very good,once or twice
12,Alberta,Boy,Never or almost never,Agree,Very good,once or twice
17,Alberta,Boy,Daily or almost daily,Somewhat disagree,Fair,once or twice
12,Alberta,Girl,Don't know/doesn't apply,Prefer not to say,Excellent,Never
15,Nova Scotia,Boy,Several times each day,Somewhat disagree,Excellent,Three or four times
14,Alberta,Boy,At least every week,Somewhat agree,Very good,once or twice
13,Alberta,Boy,At least every week,Somewhat agree,Good,Never
13,Manitoba,Girl,Daily or almost daily,Agree,Good,Never
16,Alberta,Boy,Daily or almost daily,Agree,Fair,once or twice
16,Quebec,Girl,Daily or almost daily,Agree,Fair,Never
13,British Columbia,Boy,At least every week,Prefer not to say,Excellent,Never
16,British Columbia,Boy,Several times each day,Somewhat disagree,Very good,Three or four times
18,Manitoba,Gender diverse,Don't know/doesn't apply,Agree,Good,once or twice
14,Nova Scotia,Boy,At least every week,Agree,Good,Never
14,Quebec,Boy,Never or almost never,Somewhat disagree,Fair,Never
18,Alberta,Boy,Several times each day,Disagree,Excellent,More than four times
14,Ontario,Boy,At least every week,Agree,Excellent,once or twice
15,Alberta,Girl,At least every week,Agree,Poor,Never
15,British Columbia,Boy,Several times each day,Agree,Excellent,More than four times
12,British Columbia,Boy,Daily or almost daily,Agree,Good,once or twice
15,British Columbia,Boy,At least every week,Agree,Good,Three or four times
15,British Columbia,Girl,Never or almost never,Somewhat disagree,Good,Never
14,Alberta,Boy,At least every week,Agree,Good,Never
14,Alberta,Boy,Several times each day,Somewhat agree,Fair,once or twice
12,Newfoundland and Labrador,Boy,At least every week,Somewhat agree,Good,once or twice
17,New Brunswick,Girl,Daily or almost daily,Agree,Very good,Never
13,New Brunswick,Boy,At least every week,Agree,Good,Never
17,Quebec,Boy,Daily or almost daily,Agree,Good,once or twice
16,Quebec,Girl,At least every week,Agree,Poor,Never
12,Nova Scotia,Boy,At least every week,Agree,Very good,once or twice
14,Alberta,Boy,Daily or almost daily,Agree,Good,Three or four times
18,Quebec,Girl,Never or almost never,Somewhat agree,Very good,Never
13,Quebec,Boy,At least every week,Agree,Very good,Never
14,Alberta,Boy,Never or almost never,Somewhat agree,Good,Three or four times
13,British Columbia,Girl,At least every week,Agree,Very good,Never
12,Alberta,Girl,At least every week,Prefer not to say,Very good,once or twice
14,British Columbia,Girl,Daily or almost daily,Agree,Good,Never
18,Quebec,Girl,Don't know/doesn't apply,Somewhat disagree,Poor,Never
17,Newfoundland and Labrador,Boy,Several times each day,Agree,Excellent,Never
14,Saskatchewan,Boy,At least every week,Agree,Fair,once or twice
14,Alberta,Boy,Never or almost never,Agree,Fair,once or twice
15,British Columbia,Boy,Daily or almost daily,Agree,Good,Never
15,British Columbia,Boy,Several times each day,Agree,Good,Never
12,British Columbia,Gender diverse,At least every week,Somewhat agree,Poor,once or twice
18,Alberta,Boy,At least every week,Agree,Very good,Three or four times
15,Saskatchewan,Girl,Daily or almost daily,Somewhat agree,Good,Never
15,Prince Edward Island,Girl,At least every week,Agree,Good,once or twice
18,Alberta,Gender diverse,Never or almost never,Somewhat disagree,Poor,once or twice
14,Quebec,Girl,Never or almost never,Agree,Fair,Never
15,British Columbia,Girl,Daily or almost daily,Agree,Excellent,Never
14,Newfoundland and Labrador,Girl,At least every week,Agree,Excellent,Never
14,British Columbia,Gender diverse,At least every week,Agree,Fair,once or twice
12,British Columbia,Boy,At least every week,Somewhat disagree,Good,Three or four times
18,British Columbia,Boy,Never or almost never,Somewhat disagree,Poor,once or twice
15,Quebec,Girl,Never or almost never,Agree,Good,once or twice
18,Quebec,Girl,Don't know/doesn't apply,Agree,Fair,Never
13,New Brunswick,Girl,Daily or almost daily,Somewhat agree,Good,once or twice
14,Quebec,Girl,At least every week,Somewhat agree,Good,Never
13,British Columbia,Boy,At least every week,Agree,Good,once or twice
14,Quebec,Boy,Never or almost never,Somewhat agree,Excellent,Never
16,British Columbia,Boy,Several times each day,Prefer not to say,Prefer not to say,Never
16,British Columbia,Boy,Several times each day,Somewhat agree,Very good,Three or four times
15,British Columbia,Boy,Daily or almost daily,Agree,Poor,Prefer not to say
16,New Brunswick,Prefer not to say,Never or almost never,Disagree,Very good,Never
18,Quebec,Girl,Don't know/doesn't apply,Somewhat agree,Good,Never
15,Nova Scotia,Boy,Several times each day,Somewhat agree,Good,once or twice
17,British Columbia,Boy,At least every week,Agree,Good,Never
16,British Columbia,Boy,At least every week,Agree,Good,Never
12,Saskatchewan,Girl,Never or almost never,Agree,Good,once or twice
12,British Columbia,Girl,At least every week,Agree,Very good,Never
18,Nova Scotia,Boy,Never or almost never,Agree,Poor,Prefer not to say
13,Quebec,Prefer not to say,Never or almost never,Somewhat agree,Good,Never
14,British Columbia,Boy,At least every week,Agree,Good,once or twice
17,Quebec,Girl,Never or almost never,Agree,Fair,once or twice
12,British Columbia,Girl,Daily or almost daily,Somewhat agree,Good,More than four times
13,Quebec,Boy,Never or almost never,Agree,Good,Never
17,Quebec,Girl,Daily or almost daily,Agree,Fair,Never
15,British Columbia,Girl,Almost all the time throughout the day,Somewhat agree,Fair,More than four times
13,Quebec,Girl,Daily or almost daily,Agree,Excellent,Never
13,British Columbia,Girl,Daily or almost daily,Agree,Very good,Never
17,Quebec,Girl,At least every week,Somewhat agree,Very good,Never
14,British Columbia,Girl,Daily or almost daily,Agree,Fair,once or twice
12,British Columbia,Girl,At least every week,Somewhat agree,Good,Never
12,British Columbia,Boy,Almost all the time throughout the day,Agree,Excellent,More than four times
17,Quebec,Girl,Daily or almost daily,Somewhat agree,Very good,Never
13,Quebec,Boy,Daily or almost daily,Agree,Good,once or twice
17,Quebec,Boy,Never or almost never,Agree,Very good,Never
13,British Columbia,Girl,Never or almost never,Agree,Excellent,Never
18,Quebec,Girl,Daily or almost daily,Agree,Fair,Never
12,British Columbia,Girl,Never or almost never,Somewhat agree,Very good,Never
17,Quebec,Girl,Daily or almost daily,Agree,Good,Never
18,Quebec,Girl,Don't know/doesn't apply,Agree,Fair,Never
18,Quebec,Girl,Never or almost never,Agree,Fair,Never
16,Saskatchewan,Gender diverse,Several times each day,Somewhat agree,Good,Prefer not to say
12,Quebec,Boy,At least every week,Somewhat agree,Excellent,Never
18,Quebec,Girl,Daily or almost daily,Agree,Fair,once or twice
18,Quebec,Boy,At least every week,Agree,Good,once or twice
17,Quebec,Girl,Several times each day,Agree,Good,Never
13,Quebec,Girl,Never or almost never,Somewhat agree,Excellent,once or twice
15,Quebec,Boy,Prefer not to say,Disagree,Fair,once or twice
16,Quebec,Boy,At least every week,Agree,Fair,Never
16,Manitoba,Girl,Daily or almost daily,Agree,Excellent,Never
18,Quebec,Girl,Daily or almost daily,Somewhat disagree,Poor,Never
15,Quebec,Boy,Several times each day,Somewhat agree,Fair,More than four times
18,Quebec,Girl,Never or almost never,Somewhat agree,Very good,Never
18,Quebec,Girl,Never or almost never,Agree,Fair,Never
15,British Columbia,Girl,At least every week,Somewhat agree,Very good,once or twice
16,Nova Scotia,Boy,Daily or almost daily,Somewhat agree,Very good,Three or four times
16,Newfoundland and Labrador,Boy,Daily or almost daily,Somewhat agree,Very good,Three or four times
15,New Brunswick,Girl,Several times each day,Agree,Very good,Three or four times
16,Nova Scotia,Boy,At least every week,Somewhat agree,Good,Never
15,Alberta,Girl,At least every week,Somewhat agree,Fair,once or twice
13,Alberta,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
14,British Columbia,Boy,Daily or almost daily,Somewhat agree,Fair,Three or four times
13,British Columbia,Boy,Daily or almost daily,Agree,Good,Three or four times
13,British Columbia,Girl,Daily or almost daily,Prefer not to say,Good,Prefer not to say
16,British Columbia,Girl,Daily or almost daily,Disagree,Excellent,Never
16,British Columbia,Boy,Daily or almost daily,Agree,Very good,Never
12,British Columbia,Girl,At least every week,Somewhat agree,Good,Three or four times
17,Quebec,Boy,At least every week,Somewhat disagree,Very good,Never
18,Quebec,Boy,Never or almost never,Prefer not to say,Prefer not to say,once or twice
15,Manitoba,Girl,Never or almost never,Prefer not to say,Fair,Never
16,Quebec,Girl,Daily or almost daily,Somewhat agree,Excellent,Never
15,Ontario,Boy,At least every week,Agree,Excellent,Never
15,Ontario,Girl,At least every week,Somewhat agree,Good,Never
17,Ontario,Girl,Almost all the time throughout the day,Agree,Fair,once or twice
13,Manitoba,Girl,At least every week,Somewhat agree,Good,Never
15,Ontario,Girl,At least every week,Somewhat agree,Very good,Never
16,Ontario,Boy,Don't know/doesn't apply,Somewhat disagree,Very good,Three or four times
15,Ontario,Boy,Daily or almost daily,Somewhat disagree,Excellent,once or twice
17,Ontario,Girl,At least every week,Somewhat agree,Good,Never
13,Quebec,Boy,At least every week,Agree,Excellent,once or twice
15,Ontario,Girl,Almost all the time throughout the day,Somewhat agree,Good,once or twice
16,Ontario,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
18,Ontario,Girl,At least every week,Somewhat agree,Very good,Never
13,Ontario,Girl,At least every week,Prefer not to say,Excellent,Prefer not to say
16,Ontario,Girl,Daily or almost daily,Agree,Excellent,More than four times
15,Ontario,Boy,Never or almost never,Somewhat agree,Very good,Never
14,Ontario,Girl,At least every week,Prefer not to say,Good,Never
14,Ontario,Girl,At least every week,Somewhat agree,Good,Never
15,Ontario,Girl,Several times each day,Somewhat disagree,Very good,Three or four times
15,Quebec,Boy,Never or almost never,Somewhat agree,Excellent,Never
12,Ontario,Girl,Don't know/doesn't apply,Somewhat agree,Very good,Never
13,Ontario,Girl,Never or almost never,Agree,Good,once or twice
12,Ontario,Boy,Several times each day,Agree,Fair,More than four times
16,Ontario,Girl,Never or almost never,Somewhat agree,Very good,Never
18,Ontario,Boy,Never or almost never,Agree,Fair,once or twice
12,Ontario,Boy,At least every week,Agree,Good,Never
13,Ontario,Boy,Never or almost never,Somewhat agree,Very good,Never
18,Ontario,Boy,At least every week,Agree,Very good,Never
17,Ontario,Girl,Almost all the time throughout the day,Agree,Good,Never
16,Ontario,Boy,Several times each day,Somewhat agree,Good,once or twice
14,Ontario,Boy,Don't know/doesn't apply,Prefer not to say,Excellent,Never
17,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Excellent,Never
17,Ontario,Girl,At least every week,Agree,Fair,Three or four times
18,Ontario,Girl,Never or almost never,Agree,Fair,once or twice
13,Ontario,Boy,At least every week,Agree,Very good,Never
16,Ontario,Girl,At least every week,Somewhat agree,Good,once or twice
16,Ontario,Girl,At least every week,Somewhat agree,Good,Never
17,Ontario,Boy,Never or almost never,Somewhat agree,Very good,once or twice
16,Ontario,Boy,Daily or almost daily,Somewhat agree,Very good,Never
14,Ontario,Girl,Daily or almost daily,Agree,Good,once or twice
18,Ontario,Gender diverse,Don't know/doesn't apply,Somewhat agree,Poor,Never
18,Ontario,Boy,At least every week,Somewhat agree,Very good,Never
13,Ontario,Girl,Several times each day,Somewhat disagree,Fair,once or twice
12,Quebec,Boy,Several times each day,Agree,Excellent,Never
18,Ontario,Girl,Daily or almost daily,Somewhat disagree,Good,once or twice
14,Ontario,Girl,Never or almost never,Agree,Very good,Never
13,Ontario,Girl,At least every week,Somewhat agree,Prefer not to say,Never
16,Ontario,Boy,Daily or almost daily,Somewhat agree,Very good,Never
15,Ontario,Boy,At least every week,Prefer not to say,Very good,Never
15,Ontario,Girl,Several times each day,Agree,Very good,Never
12,Ontario,Boy,At least every week,Somewhat agree,Very good,once or twice
17,Ontario,Boy,At least every week,Somewhat agree,Fair,More than four times
16,Ontario,Boy,At least every week,Somewhat agree,Fair,Never
18,Ontario,Girl,Several times each day,Agree,Fair,once or twice
17,Ontario,Girl,At least every week,Agree,Very good,once or twice
17,Ontario,Girl,Daily or almost daily,Somewhat agree,Good,Never
17,Ontario,Girl,Never or almost never,Prefer not to say,Poor,Never
